"","Country.Name","NY.GDP.PCAP.CD.YR2013","NY.GDP.PCAP.CD.YR2014","NY.GDP.PCAP.CD.YR2015","NY.GDP.PCAP.CD.YR2016","NY.GDP.PCAP.CD.YR2017","NY.GDP.PCAP.CD.YR2018","NY.GDP.PCAP.CD.YR2019","NY.GDP.PCAP.CD.YR2020","NY.GDP.PCAP.CD.YR2021","NY.GDP.PCAP.CD.YR2022","IT.NET.USER.ZS.YR2013","IT.NET.USER.ZS.YR2014","IT.NET.USER.ZS.YR2015","IT.NET.USER.ZS.YR2016","IT.NET.USER.ZS.YR2017","IT.NET.USER.ZS.YR2018","IT.NET.USER.ZS.YR2019","IT.NET.USER.ZS.YR2020","IT.NET.USER.ZS.YR2021","IT.NET.USER.ZS.YR2022","IT.CEL.SETS.P2.YR2013","IT.CEL.SETS.P2.YR2014","IT.CEL.SETS.P2.YR2015","IT.CEL.SETS.P2.YR2016","IT.CEL.SETS.P2.YR2017","IT.CEL.SETS.P2.YR2018","IT.CEL.SETS.P2.YR2019","IT.CEL.SETS.P2.YR2020","IT.CEL.SETS.P2.YR2021","IT.CEL.SETS.P2.YR2022","SL.TLF.ADVN.ZS.YR2013","SL.TLF.ADVN.ZS.YR2014","SL.TLF.ADVN.ZS.YR2015","SL.TLF.ADVN.ZS.YR2016","SL.TLF.ADVN.ZS.YR2017","SL.TLF.ADVN.ZS.YR2018","SL.TLF.ADVN.ZS.YR2019","SL.TLF.ADVN.ZS.YR2020","SL.TLF.ADVN.ZS.YR2021","SL.TLF.ADVN.ZS.YR2022","PV.PER.RNK.YR2013","PV.PER.RNK.YR2014","PV.PER.RNK.YR2015","PV.PER.RNK.YR2016","PV.PER.RNK.YR2017","PV.PER.RNK.YR2018","PV.PER.RNK.YR2019","PV.PER.RNK.YR2020","PV.PER.RNK.YR2021","PV.PER.RNK.YR2022"
"1","Afghanistan",651.987861948108,628.146803888496,592.476164793256,520.251954939821,530.14986261654,502.057099211089,500.52298078433,516.866797351726,363.674087113049,363.674087113049,5.9,7,8.26,11,13.5,16.8,17.6,18.4,18.4,18.4,53.28634042,56.26314295,58.39109599,62.37109623,67.13641492,59.90264778,59.78387904,58.1902139,56.55443457,56.55443457,84.29,84.29,84.29,84.29,64.68,64.68,64.68,57.75,63.64,63.64,1.42180097103119,2.85714292526245,0.952380955219269,0.952380955219269,0.476190477609634,0.471698105335236,0.943396210670471,0.471698105335236,1.41509437561035,1.41509437561035
"4","Albania",4413.06339738921,4578.63320812155,3952.80358410846,4124.05538986272,4531.03220675893,5287.66081699731,5396.21422690995,5343.0377039956,6377.20309553753,6802.80451885113,51.8,54.3,56.9,59.6,62.4,65.4,68.55039112,72.23767711,79.32371752,82.61368583,127.67458,116.4887372,117.9871153,116.9622462,125.9205273,94.36446759,91.51642864,91.35050062,92.31992041,97.88570679,73.43,74.38,73.27,74.13,73.22,72.1,75.47,75.47,75.47,75.47,49.2891006469727,61.4285697937012,58.0952377319336,58.0952377319336,59.523811340332,58.4905662536621,51.886791229248,49.5283012390137,49.5283012390137,49.5283012390137
"5","Algeria",5519.77757552373,5516.22946321562,4197.41997101868,3967.20065952107,4134.93609898195,4171.79530903532,4021.98360796603,3354.15730265114,3700.31119460857,4273.92218311515,22.5,29.5,38.2,42.94552688,47.69105515,49.03846808,58.97757455,63.94999611,70.77,70.77,103.9905106,111.7079111,109.3176407,116.6140394,111.4475314,112.4675177,106.3696091,104.842178,106.4235366,109.1653573,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,12.7962083816528,9.5238094329834,11.9047622680664,12.380952835083,16.1904754638672,17.9245281219482,13.2075471878052,17.9245281219482,17.9245281219482,17.9245281219482
"8","Angola",5101.98387641128,5059.08044128816,3100.83068530533,1709.51553404553,2283.21423255725,2487.50099555267,2142.23875712854,1502.95075414518,1903.71740495688,2998.50115810921,13,21.4,22,23.2,26,29,32.12939197,32.55014678,32.60230173,32.60230173,50.80964158,51.80029281,49.36244924,44.59350803,44.10644535,42.49094914,45.8377414,43.81009059,44.42373173,67.37347427,68.66,68.66,68.66,68.66,68.66,68.66,91.47,91.47,92.78,92.78,35.0710906982422,32.8571434020996,28.0952377319336,33.3333320617676,30.4761905670166,35.3773574829102,32.0754699707031,26.8867931365967,20.7547168731689,20.7547168731689
"11","Argentina",13080.2547323367,12334.7982453893,13789.060424772,12790.2640639201,14613.035714704,11795.1628852236,9963.67423069626,8496.428156755,10636.1155301986,13686.0086737317,59.9,64.7,68.04306411,70.96898082,74.29490687,77.7,79.94695203,85.51438646,87.15070683,88.37535691,158.9154655,142.9902363,142.9639551,145.9179567,140.5014607,131.9371685,125.9409814,121.6001889,130.4550081,132.3578095,82.65,82.21,82.21,82.21,79.03,79.58,80.41,77.24,79.16,79.16,48.3412322998047,45.7142868041992,46.1904754638672,52.8571434020996,53.3333320617676,47.1698112487793,43.8679237365723,45.7547187805176,45.7547187805176,45.7547187805176
"12","Armenia",3833.15707143416,4017.22991251531,3666.14182536082,3679.95234910427,4041.99507231389,4391.92327364082,4828.50488860645,4505.86774552638,4966.51347122366,7014.20659172274,41.9,54.62280586,59.10083377,64.34602977,64.74488433,68.24505226,66.54394969,76.50770055,78.61225758,78.61225758,115.3337511,119.696221,120.3535058,119.8452458,122.3218158,126.1831509,128.2969735,124.3508359,128.961359,135.2539805,70.32,74.51,76.86,74.62,73.61,79.08,79.33,76.27,74.98,74.98,50.2369651794434,35.7142868041992,37.1428565979004,22.380952835083,25.238094329834,29.2452831268311,30.1886787414551,20.2830181121826,19.3396224975586,19.3396224975586
"14","Australia",68156.3861047269,62515.3148315008,56708.96119674,49876.7123761245,53934.1543741253,57206.9906696898,54941.0657202842,51722.0690001531,60444.5023551978,64491.4298860631,83.45349717,84,84.56051491,86.54,86.54504885,90,93.60991916,96.39446689,96.24,96.24,107.910329,106.7765212,108.1853261,109.7343698,108.4165835,110.6519296,110.29622,105.231579,104.5172138,107.0312028,82.58,81.28,82.09,81.42,81.8,77.78,78.07,76.83,76.59,76.59,83.4123229980469,85.2380981445313,75.7142868041992,89.0476226806641,79.523811340332,85.3773574829102,78.7735824584961,74.0566024780273,74.0566024780273,74.0566024780273
"15","Austria",50731.1272541851,51786.3771747897,44195.8175947748,45307.5878620442,47429.1584564391,51466.5565633624,50070.4033482892,48809.2268762235,53637.7057109897,52131.4466586387,80.6188,80.99582496,83.94014193,84.32374257,87.93558659,87.47913723,87.75220479,87.52942813,92.52915104,93.61409139,156.5179428,151.5621925,155.8663134,126.8182509,123.4328495,124.2461975,120.7891044,120.3155961,121.9694798,123.4348071,77.01,76.68,76.79,76.75,77.23,76.64,76.61,76.77,76.77,79.95,96.2085342407227,95.2380981445313,90.476188659668,77.1428604125977,86.6666641235352,79.7169799804688,79.7169799804688,77.3584899902344,79.2452850341797,79.2452850341797
"19","Bangladesh",973.773900233539,1108.51495720707,1236.00439770048,1659.96248898672,1815.61019133661,1963.41270740562,2122.0783861524,2233.30589251829,2457.92404902236,2688.30395035828,6.63,11.9,12.9,18.1,19.8,23.44,27.76,32.87,38.91744466,38.91744466,75.66900657,81.34459807,83.23875309,85.10324101,93.29458051,98.83168698,100.0336994,105.2911628,108.9094426,105.2642491,80.09,80.09,80.09,77.52,79.64,79.64,79.64,79.64,79.64,79.64,7.5829381942749,16.6666660308838,10,10.9523811340332,10.9523811340332,13.6792449951172,15.5660381317139,15.5660381317139,16.0377349853516,16.0377349853516
"20","Barbados",16893.6062702039,16924.1903399365,16990.2194668498,17343.7254395315,17843.1979282703,18224.8905923744,19002.9623813263,16643.8065787177,17225.4623044097,20018.5151513054,71.8,75.16,76.11,79.54939789,81.76077839,82.48,83.20881332,82.458446,85.82,85.82,111.1400863,110.077011,120.3928324,119.2209554,118.0445365,117.7476331,117.5408666,105.0970277,112.6006401,114.8585936,80.28,80.28,80.28,81.88,82.26,80.59,79.91,79.91,79.91,79.91,92.4170608520508,95.7142868041992,90,81.9047622680664,80.9523773193359,80.6603775024414,86.3207550048828,90.5660400390625,91.9811325073242,91.9811325073242
