"","Country.Name","NY.GDP.PCAP.CD.Mean_10_Years","IT.NET.USER.ZS.Mean_10_Years","IT.CEL.SETS.P2.Mean_10_Years","SL.TLF.ADVN.ZS.Mean_10_Years","PV.PER.RNK.Mean_10_Years","Cluster","GDP - Rank","Internet User - Rank","Cell User - Rank","% Work Force with Adv Degree - Rank","Political Stability - Rank","Composite-Score","Composite-Rank"
"1","Afghanistan",516.980769975946,13.526,58.843370037,71.623,1.13768774569035,2,165,157,152,133,168,155,164
"4","Albania",5080.65081485324,65.312547158,107.247023005,74.241,54.5394218444824,2,91,72,95,113,74,89,91.5
"5","Algeria",4285.77333656373,49.434262077,109.23458319,50.17,14.7701868057251,2,99,105,87,167,145,120.6,135
"8","Angola",2828.95338395,26.448414221,48.460832414,78.046,29.5682048797607,2,119,135,158,82,118,122.4,139
"11","Argentina",12118.4802657727,75.659435403,137.35802307,80.386,47.4738361358643,2,57,50,29,61,84,56.2,43.5
"12","Armenia",4494.54922014485,65.323577139,124.05968393,75.456,28.9109380722046,2,95,71,56,100,119,88.2,89
"14","Australia",57999.7586514605,89.758344698,107.87512748,79.503,79.9256889343262,4,13,15,92,70,30,44,28
"15","Austria",49556.5407499736,86.671810863,132.4952734,77.12,84.1015365600586,4,16,26,37,90,24,38.6,22
"19","Bangladesh",1825.88909209214,23.123488932,93.698042013,79.563,13.3041157722473,2,130,142,116,67,147,120.4,134
"20","Barbados",17711.0576452926,80.41674356,114.67201827,80.521,88.2497924804688,1,47,38,79,56,13,46.6,30
"21","Belarus",6826.70052703569,74.437254675,119.35028472,83.194,41.8606323242188,2,75,52,67,30,97,64.2,57
"22","Belgium",46229.7235223052,88.366499342,105.176761235,75.289,65.2334278106689,4,21,19,100,102,56,59.6,51
"23","Belize",6108.14356693924,49.596153704,61.187395986,84.694,52.4246326446533,2,83,104,150,20,77,86.8,86
"24","Benin",1192.02234221534,19.293074228,87.332768996,42.43,41.9488800048828,2,144,148,124,169,95,136,153
"26","Bhutan",2987.25501178316,58.212305917,91.893852725,74.277,85.2222137451172,2,117,89,119,112,22,91.8,95
"27","Bolivia",3202.60904375525,47.626561053,96.600943148,80.84,33.2633953094482,2,114,106,107,53,110,98,107.5
"28","Bosnia and Herzegovina",5815.13669158869,64.398757663,104.087739115,78.916,33.3085487365723,2,85,76,101,73,109,88.8,90
"29","Botswana",6675.776683308,52.740793523,148.70551753,77.794,85.8353828430176,2,77,98,15,85,18,58.6,50
"30","Brazil",9319.51404987092,67.916983826,111.50790769,82.156,31.5632591247559,2,69,63,83,45,115,75,73.5
"32","Brunei Darussalam",32838.635688269,87.156581758,121.80710573,83.54,91.8052848815918,1,31,24,59,27,8,29.8,11
"33","Bulgaria",9411.98413472584,64.573318496,121.74829511,74.949,56.1139873504639,2,68,74,60,106,69,75.4,75
"34","Burkina Faso",764.934812625874,10.734943245,89.819254059,64.665,14.7533201217651,2,155,164,121,155,146,148.2,161
"35","Burundi",240.087148372089,3.035420761,48.809644846,71.004,8.95326023101807,2,169,168,157,138,158,158,167
"36","Cabo Verde",3598.5983821178,55.205708035,103.493058926,71.734,73.411568069458,2,109,94,103,131,40,95.4,101.5
"37","Cambodia",1416.04524356889,36.246045906,126.77834856,76.978,46.6706157684326,2,139,119,46,92,89,97,106
"38","Cameroon",1542.37461755388,29.129059716,79.293779459,77.36,12.7519598960877,2,135,134,137,88,148,128.4,147
"39","Canada",47822.9078087515,91.130230188,86.334452508,74.938,87.0880805969238,4,19,12,126,107,16,56,42
"41","Cayman Islands",82563.2047139094,78.79061595,152.38684338,86.382,92.8326988220215,4,5,45,13,14,7,16.8,4
"44","Chad",759.531367514305,8.5862121665,46.489646955,67.77,11.1340617179871,2,157,166,160,150,152,157,165
"46","Chile",14809.1929624601,79.830098154,132.01807912,83.234,55.634188079834,1,54,41,38,29,70,46.4,29
"48","Colombia",6638.18244910287,62.532471021,129.82199756,76.684,16.1446303367615,2,79,78,42,94,142,87,87
"49","Comoros",1492.35526050625,13.8054677517,72.195857644,80.488,40.1793865203857,2,137,156,143,57,102,119,131
"50","Congo, Dem. Rep.",511.674776593372,12.0679185863,43.901741401,61.02,5.48921194076538,2,166,160,164,161,162,162.6,168
"52","Costa Rica",11988.6674451188,69.674460219,155.57487638,77.473,68.3024101257324,2,58,60,12,86,50,53.2,39
"53","Cote d'Ivoire",2211.63811365139,31.446048551,129.253067261,70.441,15.538146686554,2,125,129,44,144,143,117,127
"54","Croatia",14659.096049412,74.09769212,106.34710024,72.438,68.3525016784668,1,56,53,98,125,49,76.2,76.5
"57","Cyprus",27965.0498046875,80.480356351,137.32487398,82.796,62.3024147033691,1,36,37,30,32,60,39,24
"58","Czechia",22160.8314519264,78.931604894,124.28976214,75.625,82.9946380615234,1,41,43,55,99,25,52.6,37.5
"59","Denmark",60636.0353992715,96.96581026,125.01890353,77.084,79.3360725402832,4,12,3,53,91,32,38.2,20
"60","Djibouti",2668.83938869144,45.541126697,36.128976126,70.78,28.4118541717529,2,120,108,167,140,122,131.4,149
"62","Dominican Republic",7613.41902131338,68.835965729,84.58905071,82.48,51.6899036407471,2,72,62,128,40,79,76.2,76.5
"67","Ecuador",6143.72879729765,57.799388231,92.556133824,78.922,40.5580879211426,2,82,92,118,72,101,93,97
"68","Egypt, Arab Rep.",3272.98597227264,50.769172805,95.913514114,71.263,10.6960755825043,2,113,102,111,135,154,123,140
"69","El Salvador",4099.10657140632,41.214455723,157.95667213,84.393,41.3583881378174,2,102,111,10,21,99,68.6,66
"72","Estonia",22191.4122756162,87.864343525,146.56707879,80.467,68.7833145141602,1,40,21,17,58,47,36.6,18
"73","Eswatini",3802.23136507205,41.119417775,95.033897629,82.56,36.2609336853027,2,108,112,113,39,106,95.6,103
"74","Ethiopia",760.999591024914,13.899357842,40.447688934,93.59,7.62823886871338,2,156,155,165,2,160,127.6,145
