"Country.Name","NY.GDP.PCAP.CD.YR2013","NY.GDP.PCAP.CD.YR2014","NY.GDP.PCAP.CD.YR2015","NY.GDP.PCAP.CD.YR2016","NY.GDP.PCAP.CD.YR2017","NY.GDP.PCAP.CD.YR2018","NY.GDP.PCAP.CD.YR2019","NY.GDP.PCAP.CD.YR2020","NY.GDP.PCAP.CD.YR2021","NY.GDP.PCAP.CD.YR2022","IT.NET.USER.ZS.YR2013","IT.NET.USER.ZS.YR2014","IT.NET.USER.ZS.YR2015","IT.NET.USER.ZS.YR2016","IT.NET.USER.ZS.YR2017","IT.NET.USER.ZS.YR2018","IT.NET.USER.ZS.YR2019","IT.NET.USER.ZS.YR2020","IT.NET.USER.ZS.YR2021","IT.NET.USER.ZS.YR2022","IT.CEL.SETS.P2.YR2013","IT.CEL.SETS.P2.YR2014","IT.CEL.SETS.P2.YR2015","IT.CEL.SETS.P2.YR2016","IT.CEL.SETS.P2.YR2017","IT.CEL.SETS.P2.YR2018","IT.CEL.SETS.P2.YR2019","IT.CEL.SETS.P2.YR2020","IT.CEL.SETS.P2.YR2021","IT.CEL.SETS.P2.YR2022","SL.TLF.ADVN.ZS.YR2013","SL.TLF.ADVN.ZS.YR2014","SL.TLF.ADVN.ZS.YR2015","SL.TLF.ADVN.ZS.YR2016","SL.TLF.ADVN.ZS.YR2017","SL.TLF.ADVN.ZS.YR2018","SL.TLF.ADVN.ZS.YR2019","SL.TLF.ADVN.ZS.YR2020","SL.TLF.ADVN.ZS.YR2021","SL.TLF.ADVN.ZS.YR2022","PV.PER.RNK.YR2013","PV.PER.RNK.YR2014","PV.PER.RNK.YR2015","PV.PER.RNK.YR2016","PV.PER.RNK.YR2017","PV.PER.RNK.YR2018","PV.PER.RNK.YR2019","PV.PER.RNK.YR2020","PV.PER.RNK.YR2021","PV.PER.RNK.YR2022",".YR2013",".YR2014",".YR2015",".YR2016",".YR2017",".YR2018",".YR2019",".YR2020",".YR2021",".YR2022"
"Afghanistan",651.987861948108,628.146803888496,592.476164793256,520.251954939821,530.14986261654,502.057099211089,500.52298078433,516.866797351726,363.674087113049,NA,5.9,7,8.26,11,13.5,16.8,17.6,18.4,NA,NA,53.28634042,56.26314295,58.39109599,62.37109623,67.13641492,59.90264778,59.78387904,58.1902139,56.55443457,NA,NA,84.29,NA,NA,64.68,NA,NA,57.75,63.64,NA,1.42180097103119,2.85714292526245,0.952380955219269,0.952380955219269,0.476190477609634,0.471698105335236,0.943396210670471,0.471698105335236,1.41509437561035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Africa Eastern and Southern",1736.22250714845,1724.53438087977,1545.55908352233,1436.09440388982,1613.66848779126,1550.11176204468,1499.9544365215,1353.9275274008,1539.16554316986,1622.39171959406,10.1269454655226,12.2377157932034,14.4858491534531,15.753329822739,17.3109868719447,20.0630242595526,22.5895907084388,24.9884008681592,27.660653781351,NA,57.6880768277277,61.9358160623131,67.2938731832888,64.2849546298434,64.2226191451532,72.3171815751444,68.736998772629,71.0609338093953,75.8584211840451,78.380607200475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Africa Western and Central",2153.76613809455,2247.85749211781,1880.75077764461,1646.97239910395,1588.58100471239,1732.81654392311,1810.53800638238,1686.99789853738,1765.96530719796,1790.34880033979,12.5777557951493,14.923440708625,18.1094850427716,22.8697496052977,27.0812193846418,32.0893370172076,35.2764479325331,41.7498190724143,46.9904973070537,NA,75.0120031475166,80.2975320892204,85.2005633467546,84.8391679704512,83.225379057631,92.5819747932916,93.1335681658221,98.4045686671726,96.5046439613803,106.852197042686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania",4413.06339738921,4578.63320812155,3952.80358410846,4124.05538986272,4531.03220675893,5287.66081699731,5396.21422690995,5343.0377039956,6377.20309553753,6802.80451885113,51.8,54.3,56.9,59.6,62.4,65.4,68.55039112,72.23767711,79.32371752,82.61368583,127.67458,116.4887372,117.9871153,116.9622462,125.9205273,94.36446759,91.51642864,91.35050062,92.31992041,97.88570679,73.43,74.38,73.27,74.13,73.22,72.1,75.47,NA,NA,NA,49.2891006469727,61.4285697937012,58.0952377319336,58.0952377319336,59.523811340332,58.4905662536621,51.886791229248,49.5283012390137,49.5283012390137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria",5519.77757552373,5516.22946321562,4197.41997101868,3967.20065952107,4134.93609898195,4171.79530903532,4021.98360796603,3354.15730265114,3700.31119460857,4273.92218311515,22.5,29.5,38.2,42.94552688,47.69105515,49.03846808,58.97757455,63.94999611,70.77,NA,103.9905106,111.7079111,109.3176407,116.6140394,111.4475314,112.4675177,106.3696091,104.842178,106.4235366,109.1653573,NA,NA,NA,NA,50.17,NA,NA,NA,NA,NA,12.7962083816528,9.5238094329834,11.9047622680664,12.380952835083,16.1904754638672,17.9245281219482,13.2075471878052,17.9245281219482,17.9245281219482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Samoa",12038.8715916596,12313.9973571825,13101.5418159165,13300.8246114811,12372.8847825647,13195.9358995539,13672.576657298,15501.5263374397,15743.3107582991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.7772521972656,89.0476226806641,91.9047622680664,92.3809509277344,92.8571395874023,92.4528274536133,92.4528274536133,91.9811325073242,89.1509399414063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",44747.7538640509,45680.5349900379,38885.5303237179,39931.2169819106,40632.2315536054,42904.8284555114,41328.6004993451,37207.2220000095,42072.341103463,41992.7933583772,84.4,86.1,87.9,89.7,91.56746703,NA,90.71866533,93.20564892,93.89752157,NA,89.58187372,92.48694535,99.42853957,104.9517508,108.8046481,110.1329103,115.1500465,103.4491634,118.6729762,142.2141211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.8388595581055,96.6666641235352,97.6190490722656,97.1428604125977,97.1428604125977,97.6415100097656,98.5849075317383,99.0566024780273,98.5849075317383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",5101.98387641128,5059.08044128816,3100.83068530533,1709.51553404553,2283.21423255725,2487.50099555267,2142.23875712854,1502.95075414518,1903.71740495688,2998.50115810921,13,21.4,22,23.2,26,29,32.12939197,32.55014678,32.60230173,NA,50.80964158,51.80029281,49.36244924,44.59350803,44.10644535,42.49094914,45.8377414,43.81009059,44.42373173,67.37347427,NA,68.66,NA,NA,NA,NA,91.47,NA,92.78,NA,35.0710906982422,32.8571434020996,28.0952377319336,33.3333320617676,30.4761905670166,35.3773574829102,32.0754699707031,26.8867931365967,20.7547168731689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda",13350.149136673,14004.8112122163,14861.8827074704,15862.6516627488,16110.31239978,17514.3558637327,18187.7797117112,15284.7723835378,16740.3481963818,18745.1735087796,63.4,67.78,70,73,NA,NA,95.70763132,95.68550784,95.66338947,NA,129.2224595,134.5208212,195.6860129,198.754472,201.933735,NA,199.7481436,198.5668652,197.3825359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.620849609375,81.4285736083984,86.1904754638672,75.7142868041992,71.4285736083984,74.0566024780273,81.6037750244141,80.6603775024414,82.5471725463867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arab World",7348.84954968398,7302.2503496362,6283.25602556899,6113.39773758358,6224.52297014464,6573.81696971074,6498.52903712431,5639.39873488484,6414.72561815051,7655.84840197887,33.9101316977464,37.6559500541718,41.3816170535244,41.5291955662799,46.6646762508778,53.1981911718007,60.7310291575392,66.4403548592089,76.3090766510318,NA,104.741398824987,104.242109611802,102.997439000868,100.424978952655,98.1963031894916,96.4014579839673,96.7326519819152,96.2300336647374,99.2339505781343,102.925568544421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
